이	MM
값	NNG
안마	NNP
송편	NNP
혜택	NNG
검정	NNG
이면	NNP
ㅇㅇㅇ	NA
요기	NNG
냐고	EC
원인	NNP
대도	NNP
세	MM
의류	NNG
구정	NNP
추석	NNG
폴딩카트를	NA
상품	NNP
집게	NNG
베개	NNP
주얼리	NNP
넥타이	NNP
미색	NNG
온건	NNG
ㅂ니다	EC
어야죠	EF
락앤락	NNP
불	XPN
대충	MAG
엉뚱	XR
청하면	NNP
박스	NNP
빨간색	NNG
오만	NR
고객	NNG
사랑	NNG
머리	NNG
문자	NNG
갈비탕	NNP
검정색	NNG
다니	VV
포인트	NNG
급	NNG
무선	NNP
특가	NNG
려고	EC
아도	EC
에다가	JKB
프	VX
칠만	NR
체인	NNP
라던데	EC
비용	NNG
덥	VA
다	EF
싱싱	XR
당연히	MAG
계속	MAG
상태	NNG
경비실	NNG
사가	NNP
신고	NNG
ㅇㅇㅇ이고요.	NA
몸무게	NNP
누르	VV
관절	NNP
진짜	MAG
XL	SL
새우	NNP
이신	NNP
가야	NNP
도가니탕	NNG
세	VA
ㄴ들	EC
헷갈려서	NA
브로	NNP
미디움은요?	NA
ㄴ다던데	EC
성용	NNP
집	NNG
이천	NNP
밤	NNG
라고	NNP
일반	NNG
컬러	NNP
230	SN
오프	NNG
바로	MAG
넣	VV
사십	NR
ㄴ다고	EF
주소	NNP
고르	VV
르	NNG
1	SN
완료	NNG
처음	NNG
어떡하	VV
생물	NNP
면	NNG
ㅇㅇㅇ인데요.	NA
스타일	NNG
티슈	NNG
엠	NA
아이고	IC
ㄴ다는	ETM
엠이	NA
합하	VV
임직원	NNG
괜찮	VA
데요	EF
그중	NNG
메	NNG
연세	NNP
대	VX
간고등어	NNG
코디	NNG
지난주	NNG
가능	XR
저렇	VA
에이에스	NA
왜냐하면	MAJ
든가	EF
오	IC
김	NNP
어쩐지	MAG
나이트	NNP
디스플레이	NNP
패턴	NNP
상관없	VA
로더	NNP
좋	VA
그레	NNG
70	SN
동안	NNP
상관	NNG
등	NNB
그	MM
인지	NNP
콩	NNG
77	SN
정장	NNG
에서	JKB
110	NNP
크림	NNP
가방	NNP
모자	NNP
공단	NNP
예	IC
안	VV
색	NNG
번거롭	VA
목요일	NNP
일단	MAG
천원	NNP
어제	MAG
우리	NP
설명서	NNG
못하	VX
똑같	VA
도	JX
오호	NNP
편광	NNP
거기	NP
샌들	NNP
불이	NNP
스포츠	NNP
네이버	NNP
18	SN
로즈	NNP
44	SN
ㄴ다니까요	EC
도와주	VV
?	SF
생선	NNG
렉스	NNP
류	XSN
쿠	NNG
현금	NNG
~	SO
거제	NNP
장하나	NNP
정기	NNP
슬림핏을	NA
만	JX
시작	NNG
일	NNB
이미	MAG
발송	NNG
시계	NNG
년	NNB
칠일	NNG
곰	NNG
아직	MAG
고정	NNG
요청	NNG
또는	MAJ
입	VV
자	EC
ㅇㅇ카드로	NA
켤레	NNP
여성	NNG
중	NNB
육십	NR
부치	VV
검은색	NNG
벨레스	NNP
중국산	NNP
드릴	NNP
딱딱	XR
청구서	NNG
짝	NNB
대상	NNG
선택	NNG
중인	NNP
치	VV
건	NNB
ㅂ시오	EF
보	VV
마냥	MAG
어뜨케돼예?	NA
날	VV
네요	EF
짧	VA
차	NNG
테레비	NNG
루이	NNP
운송장	NNG
려	EC
상하	VV
옆	NNG
장식	NNG
연분홍	NNP
ㄹ게요	EF
정말	MAG
토요일	NNG
대	EC
해동	NNG
오원	NNP
흠집	NNG
대요	EF
중량	NNG
조립	NNG
곤	EC
구	NNG
어린이	NNG
그대로	MAG
에게	JKB
거래	NNG
용량	NNG
260	SN
삼십	NR
테	NNG
바닥	NNG
올리브	NNP
고	XPN
플러스	NNP
실내	NNG
박은	NNP
믄	EC
라에	NNP
오래	MAG
주문	NNP
월요일	NNP
밝	VA
주시	NNP
천	NNP
갈비찜	NNP
브라하고	NA
인기	NNP
미듐	NA
넉넉	XR
트러블	NNP
트레이닝	NNG
가부	NNP
만요	NNP
검	VA
그라	VV
혈당	NNP
무겁	VA
광택	NNP
ㅇㅇㅇ입니다.	NA
피콜로	NNP
니까	EF
네	EF
예약	NNG
버	NNP
려다가	EC
게	NNG
경우	NNG
블루	NNP
전달	NNG
님	XSN
빛나	VV
그러면	MAJ
좀	MAG
이제	NNG
찾	VV
웬만	XR
봉	NNG
플러스 원	NNP
충전기	NNP
달	VX
호가	NNP
55	SN
칠팔	NR
티타늄으로	NA
께	JKB
삼은	NNP
내용	NNG
삼천	NR
에이알에스하다가	NA
네	XSN
예요	EF
벨트	NNG
아쉽	VA
가격	NNP
송	NNP
가	EF
적립	NNG
일전	NNG
지퍼	NNP
이런	MM
는	ETM
려고요	EF
생	XPN
애매	XR
저번	NNG
마감	NNG
지	NNB
군청색	NNG
삼백	NR
싶	VX
칠십	NR
단	MM
개월	NNB
일정	NNG
조	NNP
박히	VV
실수	NNP
21	SN
공용	NNP
거치	VV
만	NNB
현재	MAG
구성은	NNP
쿠션	NNP
사과	NNG
다음날	NNG
녹색	NNG
머스트	NNP
팔	NR
팔도	NNP
진주	NNP
저	NP
할부	NNG
아서	EF
더블	NNP
내용물	NNG
3	SN
ㄴ대요	EF
안	NNG
좌석	NNP
쉬	VV
위	NNG
팔찌	NNP
려는	ETM
변경	NNG
는대요	EF
주말	NNG
죄송	XR
110	SN
정사	NNP
가격표	NNG
이	NP
우롱	NNG
여자도	NNP
가도	NNP
정	NNP
알레르기	NNP
려는데	EF
컷	NNG
이포	NNP
답답	XR
선물	NNP
딱	MAG
먼저	MAG
안나	NNP
내	NP
대형	NNG
모델	NNG
ㅇㅇㅇ인데요,	NA
넘어가	VV
으로	JKB
공휴일	NNP
흡입	NNG
허리	NNG
이체	NNG
핫	NNG
치약	NNP
네요	EC
입	NNG
이	VCP
라	EC
포	NNG
골드	NNP
알쏭	NA
아야지	EC
의료	NNP
은	JX
냐구요	EF
내	NNB
ㄴ데예	EF
보	NNG
여	NNG
ㅇㅇㅇ으로	NA
진액	NNG
얼마죠?	NA
건지	VV
단화	NNP
톤	NNB
아쿠아	NNP
물어보	VV
빨리	MAG
요렇	VA
도착	NNG
그때	NNG
블랙	NNG
아기	NNG
수령	NNG
젤리	NNP
기장	NNP
교환	NNG
으니까	EC
구마	NNP
봄	NNG
ㄴ지요	EF
일시불	NNG
접	NNB
구로	NNP
통	NNB
으려니	EC
메모	NNG
화	NNG
사천	NNP
ㄴ	JX
열	VV
근데	MAJ
어떻해	NA
표시	NNG
더	MAG
쌈지	NNG
세제	NNP
전체	NNG
펜더	NNP
니까	EC
랑	NNP
앞코	NNG
준비	NNG
카카오	NNP
엠치고는	NA
뭇	NNB
눈	NNG
이삼만	NNP
드	NNP
알	NNP
고급	NNG
그리	VV
문	NNP
려다	EC
다크	NNP
일찍	MAG
105	SN
삭제	NNP
조그맣	VA
면바지	NNG
충전	NNG
옐로	NNP
삼	NR
프로	NNG
동국	NNP
호	NNB
김치	NNG
다시	MAG
불량	NNG
돌아가	VV
브로치	NNP
정하	VV
런	NNG
에이핏	NA
아서요	EC
칠백	NR
거	NNB
구강	NNP
지도	NNG
위아래	NNP
법성포	NNP
레드	NNP
예	JX
서른	NR
는가	EC
그	NP
그램	NNP
백	NNP
하	XSV
통장	NNP
나중	NNG
지갑	NNP
제주	NNP
밤색	NNP
종	NNG
주소지	NNG
컵	NNG
하이	NNP
ㅇㅇ쇼핑에서는	NA
티셔츠	NNG
수거	NNG
마리	NNB
통일	NNG
매	NNB
주	VX
사일	NNP
88	SN
내야	NNG
소형	NNG
대하	VV
양념	NNG
내일	NNP
66	SN
각	NNG
유행	NNG
통보	NNG
구스	NA
삼종	NNG
내외	NNG
인터넷	NNG
고맙	VA
나머지	NNG
양말	NNP
정가	NNG
을까요	EF
완화	NNG
보고	JKB
은	ETM
것	NNB
야	JX
열두	NR
란	ETM
슈	EC
쇼	NNG
20	SN
빠르	VA
신상도	NNP
안받	VV
청구	NNP
리어	NNP
날수	NNG
려면	EC
동일	NNG
바깥	NNG
덩어리	NNG
ㄹ까	EC
검정	NNP
그쵸?	NA
마리	NNP
바꾸	VV
자주	MAG
남은	NNP
잖아요	EC
난리	NNG
라서요	EF
조회	NNG
들어서	VV
안쪽	NNG
최초	NNG
젖	VV
청바지	NNG
에어컨	NNP
전복	NNP
공통	NNG
삼일	NNG
하진	NNP
테이프	NNP
이해	NNG
어떠	XR
특별히	MAG
접수	NNG
일요일	NNG
는데예	EF
네네	NNP
안내	NNG
고장	NNG
이비	NNP
카라	NNP
고객	NNP
잘못	NNG
이자	NNP
달	VV
문자	NNP
일월	NNP
시키	VV
포인트	NNP
벌	NNB
멀	VA
야	JKV
은	NNP
경기도	NNP
신	VV
어른	NNG
달리	VV
이태리	NNP
셔츠	NNP
메달	NNG
때	NNG
구월	NNP
오오	NNP
지금	MAG
하고	JKB
ㄴ지	EC
가입	NNG
브라자	NNG
요즘	NNG
신고	NNP
0	SN
건지	NNG
짜	VV
살	VV
물먹	VV
올리비아	NNP
ㄴ지요	EC
적립금	NNG
도저히	MAG
니까요	EF
대로	JX
요	EF
튀	VV
취리히	NNP
며칠	NNG
라도	EC
냐는	ETM
베이직	NNG
시험지	NNG
잠시	MAG
맘	NNG
실크	NNG
파손	NNG
홈쇼핑	NNP
멘트	NNG
깨끗	XR
는지	EC
카	NNP
스타일	NNP
락스	NNP
ㄴ단	ETM
5	SN
꺼내	VV
플로	NNP
원사	NNP
OO	SL
240	NNP
화나	VV
동일	XR
오	NNP
연휴	NNG
바지	NNG
기로	NNP
발급	NNG
변심	NNG
심심	XR
어쨌든	MAG
소용없	VA
특	NNG
떼	VV
오면	EC
더라도	EC
이것	NP
이후	NNG
등록	NNG
가	VV
ㄹ라면	EC
하기	NNP
만들	VV
찌	VV
로	NNG
어찌	MAG
프리사	NNP
예	NNP
굴비	NNG
미리	NNP
생각	NNG
신한	NNP
무난	XR
전	NNG
편하	VA
방향	NNG
지요	EF
누비	VV
들리	VV
그것	NP
택배	NNP
이예	NNP
명세서	NNG
간	NNB
완전히	MAG
후레쉬	NNG
해보	VV
신발	NNG
톡	MAG
바쁘	VA
자체	NNG
노	EF
해	NNG
팔천	NR
까지	VV
뒤	NNG
무	NNG
지나	VV
마	NNG
을까	EC
하나	NR
칠	NNG
생선	NNP
기름	NNP
줄어들	VV
찜	NNG
구구	NNG
하	VX
현금	NNP
차	NNB
건강	NNG
안녕하세요	NNP
이쪽	NP
디자인	NNP
주신	NNG
주황색	NNG
끈	NNG
시계	NNP
대	XPN
라이	NNP
물	NNG
미디엄	NNP
다양	XR
문제	NNG
토드	NNP
십만	NR
구성	NNG
칠	NR
여주	NNP
브라우니	NNP
을려고	EC
외투	NNP
제대로	MAG
하면	NNP
인중	NNP
산지	NNP
업체	NNG
라는	ETM
상태도	NNP
신어	NNP
예정	NNG
이전	NNG
사이	NNG
있	VX
올라가	VV
만년필	NNP
식품	NNG
순	NNG
에	JKB
밖에	JX
토요일	NNP
거나	EC
서요	NNP
에이알에스하고	NA
치	XSN
구가	NNG
루	JKB
잘나가	VV
다면	EC
예예	IC
시월	NNG
반지	NNP
체크무늬	NNG
처음이라서	NNP
용량	NNP
그런	MM
으니깐	EC
설치	NNG
남편	NNG
나	JX
ㅇㅇㅇ요.	NA
게요	EF
십팔	NR
녹취	NNG
괜찮아	NNP
엠사이즈	NA
도대체	MAG
이지	NNP
달	NNG
상자	NNP
점퍼	NNP
서	JKB
신	NNG
요리	NNG
갈색	NNP
마켓	NNP
냉	NNG
저렴	XR
줄무늬	NNG
고요	NNP
으면	EC
아까	MAG
말	VX
화	XSN
오하	NNP
부츠	NNP
화랑	NNP
이나	JC
부피	NNP
사전	NNG
대략	MAG
굽	VV
요	EC
없애	VV
되	NNB
dc	SL
보아주	VV
습니다	EF
버리	VX
사만	NR
파시	NNP
러닝	NNG
째	XSN
회원	NNG
퍼센트	NNP
그떄	NA
주	VV
의자	NNG
직원	NNG
수납공간	NNG
그리고	MAJ
오도	NNP
헐렁	XR
데	NNB
구슬	NNP
아니요	IC
저쪽	NP
그런데	MAJ
단계	NNG
이씨	NNP
진한	NNP
빨갛	VA
분홍색	NNG
길	NNG
과일	NNP
초록색	NNG
국민	NNG
벨트	NNP
소매	NNP
궁굼해서요.	NA
아니	IC
마네킹	NNP
딩	MAG
뭔	MM
네	IC
받이	NNG
세트	NNP
소리	NNP
모바일	NNP
디워	NNP
호스트	NNP
13	SN
사은품	NNG
았	EP
천구	NNP
선	NNG
엠사이즈는	NA
동그랗	VA
재고	NNG
없이	MAG
라운드	NNG
스럽	XSA
240	SN
스포트라이트	NNP
지만요	EF
방송	NNP
모레	NNG
출발	NNG
건데	EC
구두	NNG
띄	VV
라서	EC
k	SL
새	VV
사과	NNP
에이알에스를	NA
아뇨	IC
줄	NNB
에요	EF
신건	NNP
"	"	SW
노	EC
나이	NNG
추천	NNG
80	SN
뒷줄	NNG
갯수	NNG
오천	NR
물건	NNG
이번	NNG
레	NNP
ㅇㅇㅇㅇ에서	NA
오말	NNP
ㅇㅇ동	NA
ㄹ려다가	EC
세균	NNP
스쿼트	NNP
구십	NR
잖습니까	EF
저기	NNG
오전	NNG
클러치	NNP
치	NNB
는지요	EC
크기	NNG
상의	NNG
그레이	NNP
신	XPN
환불	NNG
종류	NNG
보	NNB
.	SF
목	NNG
남자	NNG
리본	NNP
체격	NNG
행주	NNP
대형	NNP
청소	NNP
미디움이	NA
모델	NNP
정 때문에	NNP
어	EF
어서	EF
현찰	NNG
빨강색	NNG
누락	NNG
허리	NNP
걸	VV
아가씨	NNG
모르	VV
고리	NNP
멫이에요?	NA
원플러스원	NNP
잠깐	NNP
무방	XR
택	NNG
멀리	MAG
링	NNG
어제	NNG
으네요	EF
용	XSN
목걸이	NNP
여기	VV
인조	NNP
사항	NNG
회사	NNG
그러니까	MAJ
꾸	VV
모두	NNG
글쎄요	IC
확실히	MAG
게요	EC
풍기	NNP
16000	SN
입원	NNG
이물질	NNG
블랙	NNP
핑크	NNP
네	MM
남성	NNG
자국	NNG
대	XSN
다고	EC
청송	NNP
들	VV
ㄹ라고	EC
색상	NNG
가져가	VV
고글	NNP
이주	NNP
블라인드	NNP
사마	NNP
엉덩이	NNG
흰색	NNG
테이	NNP
돌	NNP
ㅇㅇ쇼핑에	NA
고약	XR
기존	NNG
겨자	NNP
오일	NNG
엠인가요?	NA
이내	NNG
다	JX
동	NNP
생활	NNG
부탁	NNG
끊어지	VV
서울시	NNP
들어오	VV
무늬	NNG
다음	NNG
맞	VV
쥐	NNG
ㄴ가	EF
습니다	EC
라고	EC
썸머	NA
여지껏	MAG
고무줄	NNP
온도	NNP
가	XPN
수도	NNP
굽	NNG
듣	VV
어깨	NNG
ㅁ	ETN
쿠폰	NNP
스니커즈	NNP
넘어오	VV
너무	MAG
사	NNG
학교 2	NNP
하	VV
280	SN
어라	EC
길	VA
우리집	NNP
충전	NNP
주	NNG
그전	NNG
ㅇㅇㅇ사이즈	NA
적용	NNG
진하	VA
결정	NNG
팔	VV
이백	NR
김치	NNP
여보세요	IC
이일	NNP
어쨌거나	MAJ
개봉	NNP
싱글	NNP
베이지	NNG
을래	EC
로그인	NNP
그럼	MAJ
옷걸이	NNG
와도	NNP
엠사이즈로	NA
핀	NNP
단위	NNP
ㅇㅇㅇㅇ인지	NA
핑크색	NNG
진행	NNG
사	NR
릴	NNG
필요	NNG
얘	NP
저거	NP
이즈	NNP
밍크	NNP
붉	VA
그냥	MAG
제약	NNP
은색	NNP
V	SL
있	VV
ㅇㅇ호에요.	NA
보관	NNG
ㅇㅇ쇼핑이지요?	NA
종	NNP
적	VA
과	JKB
준우젬	NA
토마토	NNP
조각조각	NNG
지만요	EC
연결	NNG
는데요	EF
ㅇㅇ원피스	NA
티셔츠	NNP
내복	NNG
거지	NNG
내야	NNP
에요	EC
유행	NNP
는	JX
연	NNG
진공	NNP
먹	VV
술술	MAG
크러쉬	NNP
세로	NNP
한장	NNP
한도	NNP
육만	NR
세일	NNG
체어	NNG
예상	NNG
챙기	VV
ㅇㅇ색깔	NA
말랭이	NA
을라고	EC
벌꿀	NNP
맞교환	NNG
파이	VV
기	ETN
끝판	NNG
원	NNB
치수	NNP
ㄹ까요	EF
화이트닝	NA
왜냐면	MAJ
아침	NNG
자	NNB
다른	MM
대가	NNP
보다	JKB
겁	NNG
버클	NNG
청바지	NNP
ㄹ께	EC
옷	NNG
어	EC
어서	EC
조금	NNG
일요일	NNP
은지	EC
대	NNB
만약	MAG
모시	NNP
고장	NNP
일	NNP
금색	NNP
끝나	VV
군데군데	MAG
용	NNP
롱코트	NA
투엑스	NNP
예뻐	NNP
남색	NNP
센치	NNP
따뜻	XR
씩	XSN
마사지	NNG
낮	NNG
라이트	NNP
컬럼비아	NNP
삼만	NR
은가	EC
주	MM
사백	NR
엠엘	NA
큐빅	NNP
270	NNP
이벤트	NNP
심하	VA
마르	NNP
한가지	NNG
26	SN
함보	NNP
전기선	NNG
여덟	NR
사면	NNP
느라고	EC
토막	NNG
부모	NNG
인증	NNP
케이스	NNP
송장	NNP
표	NNG
측정	NNP
방망이	NNG
하늘색	NNP
으니	EC
양복	NNP
아무튼	MAG
얼	NNG
살짝	MAG
비치	NNP
팔백	NR
끊	VV
그래요	IC
조절	NNG
현대	NNP
모양	NNG
보다	MAG
챠콜?	NA
100	SN
취소	NNG
연두색	NNG
요것	NP
소비자	NNG
ㄴ가	EC
수박색	NNG
기간	NNG
스타	NNP
공구	NNG
65	SN
에이	NNG
나서	VV
슬레진저	NA
던가	EF
신학	NNG
쇼핑	NNG
삼십만	NR
왕	NNG
폴로	NNP
피부	NNP
요	NNG
카파	NNP
오메가	NNP
포함	NNG
약하	VA
땡땡	NNP
신용카드	NNP
250	NNP
사운드	NNP
32	SN
새	MM
미리	MAG
섞이	VV
청소기	NNG
ㅇㅇ쇼핑에서하는	NA
카드	NNP
아서요	EF
일품	NNG
잠기	VV
어저께	NNG
효과	NNG
신상품	NNG
넓이	NNP
카페	NNG
고치	VV
하	NNG
개	VV
275	SN
ㅂ니까	EF
상시	NNG
아야	EC
패딩	NNG
이쁘	VA
도금	NNP
팔	NNG
ㅇㅇㅇ갈비	NA
못쓰	VV
브랜드	NNP
골프	NNP
어디	NP
프리	NNP
고민	NNG
85	SN
글	NNG
착용	NNG
는데	EF
빨강	NNP
적	XSN
할인	NNG
초등학교	NNP
,	SP
거부	NNG
가죽	NNG
품	NNG
cm	SW
폭스	NNP
코	NNG
신발	NNP
조율	NNP
는데요	EC
바람	NNG
서류가방	NNP
냄새	NNG
청록색	NNG
자켓보고	NA
랑	JC
비	NNG
농협	NNG
불안	NNG
구	XPN
반상	NNP
지	EC
아	EF
서	EC
입지	NNG
컨버스	NNP
제품	NNP
진동	NNP
붙	VV
키	NNG
키즈	NNG
하자	NNG
스마트폰	NNP
크리스티나	NNP
싸	VV
보구	NNP
ㄹ까요	EC
또	MAJ
드리	VX
잖아요	EF
노	NNG
부터	JX
삼호	NNP
온 스타일	NNP
몇	NR
열세	NNG
아들	NNG
못	MAG
활	NNG
노란색	NNG
무조건	MAG
제외	NNG
235	SN
기모	NNP
신청	NNG
채	NNB
나가	VX
츄리닝	NNG
말	NNG
9	SN
정신	NNG
별	XSN
라면	EC
8	SN
ㅇㅇ세트인데요.	NA
ㅇㅇㅇㅇ입니다.	NA
15	SN
소파	NNP
가디건	NNG
민트	NNP
습	NNG
Free	SL
대동	NNP
턱	NNG
요	MM
어예	EF
50	SN
대부분	NNG
추가	NNG
뱅	NNG
언제나	MAG
더라고요	EF
보내	VV
살	NNB
에 산	NNP
차단	NNG
이	NNP
배낭	NNP
기사	NNG
네	NP
치마	NNG
아파트	NNG
출근	NNG
입금	NNG
런닝	NNG
휴	IC
송이	NNP
뭐	NP
조끼	NNP
최종	NNG
한테	JKB
쓰레기	NNP
OOO	SL
아요	EF
자켓은	NA
배려	NNG
순차	NNG
오래되	VV
일해	NNP
어머니	NNG
삼	NNG
돌이	NNP
자켓	NA
찍찍이	NNP
백원인	NNP
회원	NNP
이유	NNG
270	SN
빠지	VV
던데요	EF
동해	NNP
가볍	VA
려구요	EF
제가	NNP
단색	NNG
쌀	NNG
자세	XR
빡빡	XR
적	NNB
복숭아	NNP
오	EF
보라	NNP
풀	VV
던	ETM
무지	NNG
무상	NNP
A4	NNP
거의	MAG
날짜	NNP
원대	NNG
저기	NP
